# The second case, in the words a player might actually type.
# "input<TAB>the action it should land on"; `none` means the input is meant to
# match nothing, and `flavour:x` that it should reach prose with no
# consequence rather than an action.
照明室へ上がる	go_booth
照明卓の記録を見たい	examine_cuelog
ここから舞台のどこまで見えるのか確かめる	flavour:window
郷田さんにキューのことを聞く	ask_goda
舞台裏に戻る	go_stage
遺体を調べる	examine_body
平台の陰をのぞきこむ	flavour:ropes
白河さんに暗転のことを聞く	ask_shirakawa
楽屋へ行く	go_dressing
灰皿を調べる	examine_ashtray
長机の書類を見る	examine_desk
鏡の前に置いてあるものを見る	flavour:mirror
鶴見さんに話を聞く	ask_tsurumi
灰皿の紙片を見せて問い詰める	ask_tsurumi_ashes
鶴見さん、進行表を書き換えたのはあなたですか	closed:tsurumi
鶴見さん、座長とは長い付き合いなんですか	closed:tsurumi
屋根に上がってみる	none
全員を舞台に集めて推理を話す	finale
